payee_id,profile_type,label_fraud_like,account_age,transaction_count,incoming_volume,outgoing_volume,transaction_velocity,unique_senders,complaint_count,complaint_rate,successful_transaction_ratio,refund_ratio,suspicious_counterparty_count,transaction_concentration,incoming_outgoing_ratio
payee_000000,NEW_ACCOUNT,0,2,18,4889.94,2241.57,9.0,3,0,0.0,0.9886,0.0075,0,0.5626,2.1815
payee_000001,NORMAL_USER,0,1982,255,10171.69,18620.23,0.1287,56,0,0.0,1.0,0.0182,0,0.374,0.5463
payee_000002,SUSPICIOUS_ACCOUNT,1,105,146,16718.12,14944.39,1.3905,58,4,0.0274,0.7835,0.278,2,0.6182,1.1187
payee_000003,NEW_ACCOUNT,0,15,17,1691.7,1119.85,1.1333,8,0,0.0,0.9735,0.1306,0,0.6064,1.5107
payee_000004,TRUSTED_MERCHANT,0,910,4803,89761.59,26246.94,5.278,2278,0,0.0,1.0,0.0073,0,0.0746,3.4199
payee_000005,CONFIRMED_SCAM_LIKE,1,7,99,18804.03,25370.83,14.1429,220,6,0.0606,0.5806,0.2037,7,0.9263,0.7412
payee_000006,NEW_ACCOUNT,0,20,21,2746.53,1717.46,1.05,2,2,0.0952,0.835,0.101,0,0.2633,1.5992
payee_000007,REPORTED_LEGITIMATE,0,659,1693,47371.16,11671.65,2.569,559,1,0.0006,0.9242,0.0646,0,0.1796,4.0587
payee_000008,TRUSTED_MERCHANT,0,414,9783,100238.74,18778.73,23.6304,2327,1,0.0001,1.0,0.0096,0,0.0232,5.3379
payee_000009,NORMAL_USER,0,1684,362,13216.81,14172.62,0.215,57,0,0.0,0.9388,0.0501,0,0.3063,0.9326
payee_000010,NORMAL_USER,0,606,24,11305.38,16534.26,0.0396,21,0,0.0,0.9943,0.0,0,0.215,0.6838
payee_000011,SUSPICIOUS_ACCOUNT,1,7,162,18073.81,15587.76,23.1429,81,4,0.0247,0.6307,0.1635,1,0.5825,1.1595
payee_000012,NEW_ACCOUNT,0,2,17,4258.31,4292.46,8.5,7,1,0.0588,0.9438,0.0117,0,0.3806,0.992
payee_000013,REPORTED_LEGITIMATE,0,1266,785,16189.38,3716.22,0.6201,573,4,0.0051,0.8292,0.2143,0,0.2464,4.3564
payee_000014,NORMAL_USER,0,937,153,6392.48,6764.71,0.1633,3,0,0.0,1.0,0.0005,0,0.3267,0.945
payee_000015,NORMAL_USER,0,912,79,11271.95,28149.89,0.0866,50,1,0.0127,0.9774,0.0255,1,0.1148,0.4004
payee_000016,NORMAL_USER,0,176,302,5269.14,6348.4,1.7159,29,1,0.0033,0.9039,0.1134,0,0.2505,0.83
payee_000017,TRUSTED_MERCHANT,0,1765,2898,183274.7,8351.42,1.6419,2285,4,0.0014,0.9877,0.001,0,0.0827,21.9453
payee_000018,REPORTED_LEGITIMATE,0,1320,745,13635.29,6761.44,0.5644,612,2,0.0027,0.8609,0.0618,0,0.2824,2.0166
payee_000019,NEW_ACCOUNT,0,44,23,3008.3,1574.4,0.5227,6,0,0.0,0.9022,0.0248,0,0.5713,1.9108
payee_000020,NEW_ACCOUNT,0,40,17,4268.11,945.22,0.425,5,0,0.0,0.9902,0.0394,0,0.6937,4.5155
payee_000021,NORMAL_USER,0,1788,311,5727.92,10315.81,0.1739,28,1,0.0032,0.8904,0.1963,0,0.1579,0.5553
payee_000022,CONFIRMED_SCAM_LIKE,1,51,140,50090.01,27567.44,2.7451,183,7,0.05,0.3804,0.258,5,0.5585,1.817
payee_000023,SUSPICIOUS_ACCOUNT,1,113,8,10547.66,5851.1,0.0708,17,3,0.375,0.8123,0.3413,1,0.6132,1.8027
payee_000024,NEW_ACCOUNT,0,24,22,4482.64,1992.5,0.9167,3,0,0.0,0.7924,0.1668,0,0.2235,2.2498
payee_000025,NORMAL_USER,0,266,151,9655.2,10586.98,0.5677,46,1,0.0066,0.8986,0.04,0,0.3518,0.912
payee_000026,NORMAL_USER,0,774,231,12382.07,13336.69,0.2984,30,0,0.0,0.8917,0.0616,1,0.3285,0.9284
payee_000027,TRUSTED_MERCHANT,0,1293,19873,126591.67,18737.66,15.3697,1569,4,0.0002,1.0,0.0,0,0.0429,6.756
payee_000028,TRUSTED_MERCHANT,0,1503,11881,119707.4,21187.15,7.9049,385,1,0.0001,0.9591,0.0962,0,0.0155,5.65
payee_000029,NEW_ACCOUNT,0,33,12,1821.64,1565.06,0.3636,1,0,0.0,0.9728,0.0476,0,0.5585,1.1639
payee_000030,NEW_ACCOUNT,0,18,23,1965.19,1211.46,1.2778,6,0,0.0,0.8857,0.0179,0,0.4664,1.6222
payee_000031,CONFIRMED_SCAM_LIKE,1,34,138,25220.67,19389.75,4.0588,55,9,0.0652,0.6394,0.3922,6,0.6176,1.3007
payee_000032,NORMAL_USER,0,396,175,7117.31,3748.23,0.4419,57,0,0.0,0.8703,0.0,0,0.3308,1.8988
payee_000033,NORMAL_USER,0,490,293,12798.85,8150.59,0.598,40,0,0.0,1.0,0.0781,0,0.1216,1.5703
payee_000034,NORMAL_USER,0,496,124,5852.82,5595.05,0.25,42,1,0.0081,1.0,0.1495,0,0.0723,1.0461
payee_000035,NORMAL_USER,0,527,255,10024.11,17083.52,0.4839,50,0,0.0,0.9732,0.1064,0,0.392,0.5868
payee_000036,TRUSTED_MERCHANT,0,394,5012,94189.37,17702.83,12.7208,2719,0,0.0,0.9793,0.0,0,0.053,5.3206
payee_000037,NORMAL_USER,0,1905,251,11460.74,4463.54,0.1318,48,0,0.0,0.975,0.1269,0,0.2199,2.5676
payee_000038,NORMAL_USER,0,1066,326,7848.17,9152.48,0.3058,42,1,0.0031,1.0,0.0597,0,0.0743,0.8575
payee_000039,NEW_ACCOUNT,0,18,21,1816.28,2173.74,1.1667,3,1,0.0476,0.8819,0.1501,0,0.5228,0.8356
payee_000040,NORMAL_USER,0,722,247,13215.39,9486.48,0.3421,24,0,0.0,1.0,0.0,0,0.3953,1.3931
payee_000041,REPORTED_LEGITIMATE,0,927,1581,14415.07,8090.75,1.7055,437,3,0.0019,0.9558,0.0903,0,0.2546,1.7817
payee_000042,NEW_ACCOUNT,0,18,3,1468.59,4212.01,0.1667,8,0,0.0,0.919,0.0,1,0.2926,0.3487
payee_000043,NORMAL_USER,0,1161,103,24689.81,16093.42,0.0887,27,0,0.0,0.8979,0.068,0,0.36,1.5342
payee_000044,REPORTED_LEGITIMATE,0,1123,815,41729.88,7798.61,0.7257,74,4,0.0049,0.8671,0.0,0,0.285,5.3509
payee_000045,REPORTED_LEGITIMATE,0,802,1672,46332.72,6668.78,2.0848,456,4,0.0024,1.0,0.036,0,0.1163,6.9477
payee_000046,NORMAL_USER,0,1506,116,9970.09,7580.91,0.077,56,1,0.0086,1.0,0.0886,0,0.0775,1.3152
payee_000047,NORMAL_USER,0,874,255,2635.54,21164.56,0.2918,41,1,0.0039,1.0,0.0,0,0.1972,0.1245
payee_000048,NEW_ACCOUNT,0,5,17,5115.67,3132.96,3.4,8,0,0.0,0.8344,0.0,0,0.2258,1.6329
payee_000049,TRUSTED_MERCHANT,0,2015,5597,148758.85,15458.93,2.7777,3881,2,0.0004,0.9795,0.1793,1,0.0307,9.6228
payee_000050,NORMAL_USER,0,103,100,16276.61,11895.6,0.9709,22,0,0.0,0.8097,0.0,0,0.191,1.3683
payee_000051,TRUSTED_MERCHANT,0,2962,16284,170859.03,30121.02,5.4976,1795,4,0.0002,1.0,0.0552,0,0.0688,5.6724
payee_000052,REPORTED_LEGITIMATE,0,1167,2761,23219.67,3682.07,2.3659,533,4,0.0014,0.9304,0.1162,0,0.2797,6.3061
payee_000053,NEW_ACCOUNT,0,13,23,4200.9,3763.89,1.7692,0,1,0.0435,1.0,0.1488,2,0.4459,1.1161
payee_000054,NEW_ACCOUNT,0,36,13,2525.84,1399.32,0.3611,4,0,0.0,0.9996,0.1309,0,0.504,1.805
payee_000055,REPORTED_LEGITIMATE,0,236,1046,18992.95,3117.31,4.4322,306,4,0.0038,0.9807,0.0077,0,0.1902,6.0927
payee_000056,NORMAL_USER,0,61,219,13739.0,10142.51,3.5902,14,2,0.0091,0.905,0.1348,0,0.3594,1.3546
payee_000057,NORMAL_USER,0,515,230,11449.3,13155.89,0.4466,35,2,0.0087,0.9653,0.1321,0,0.3392,0.8703
payee_000058,TRUSTED_MERCHANT,0,3174,10848,68718.33,12328.41,3.4178,2296,3,0.0003,0.9942,0.0467,0,0.0824,5.574
payee_000059,TRUSTED_MERCHANT,0,563,7615,67211.71,8187.59,13.5258,4605,1,0.0001,0.9416,0.0,0,0.0473,8.209
payee_000060,NEW_ACCOUNT,0,15,22,3236.99,2042.72,1.4667,4,0,0.0,1.0,0.031,0,0.46,1.5846
payee_000061,NORMAL_USER,0,1296,284,7019.75,6272.73,0.2191,40,0,0.0,0.9925,0.0,0,0.3356,1.1191
payee_000062,NORMAL_USER,0,1123,42,7301.69,3050.82,0.0374,11,1,0.0238,0.8644,0.0638,0,0.232,2.3934
payee_000063,NEW_ACCOUNT,0,2,11,2209.07,1323.25,5.5,8,0,0.0,0.7921,0.0115,0,0.595,1.6694
payee_000064,NEW_ACCOUNT,0,11,23,6593.66,830.09,2.0909,7,0,0.0,0.8408,0.0,0,0.5414,7.9433
payee_000065,NORMAL_USER,0,726,62,33065.33,19048.97,0.0854,50,2,0.0323,0.9688,0.0,0,0.1375,1.7358
payee_000066,NORMAL_USER,0,332,292,8848.35,25013.22,0.8795,53,1,0.0034,0.7357,0.227,0,0.3723,0.3537
payee_000067,NORMAL_USER,0,759,203,11374.48,17086.88,0.2675,19,0,0.0,1.0,0.0,0,0.108,0.6657
payee_000068,TRUSTED_MERCHANT,0,1543,2807,162780.83,34662.14,1.8192,3833,1,0.0004,0.9456,0.103,0,0.0172,4.6962
payee_000069,NORMAL_USER,0,1655,308,1327.02,5140.21,0.1861,10,0,0.0,0.8875,0.0,0,0.3115,0.2582
payee_000070,NORMAL_USER,0,418,238,21485.61,1761.17,0.5694,8,1,0.0042,1.0,0.1453,0,0.2121,12.1996
payee_000071,NORMAL_USER,0,233,313,27669.28,12260.22,1.3433,46,0,0.0,0.9103,0.0351,0,0.3574,2.2568
payee_000072,SUSPICIOUS_ACCOUNT,1,77,138,9986.26,6210.43,1.7922,119,1,0.0072,0.7739,0.1922,0,0.5037,1.608
payee_000073,NORMAL_USER,0,1409,345,16986.22,22940.37,0.2449,9,0,0.0,1.0,0.045,0,0.3475,0.7405
payee_000074,TRUSTED_MERCHANT,0,1825,19757,167638.84,31941.83,10.8258,1407,2,0.0001,0.9788,0.0683,0,0.0605,5.2483
payee_000075,NORMAL_USER,0,421,278,3496.01,4840.86,0.6603,31,1,0.0036,1.0,0.1087,0,0.3405,0.7222
payee_000076,NORMAL_USER,0,382,46,11473.26,42733.93,0.1204,59,0,0.0,0.9348,0.0977,0,0.2938,0.2685
payee_000077,NEW_ACCOUNT,0,5,1,1791.05,2594.43,0.2,7,0,0.0,1.0,0.0126,0,0.6126,0.6903
payee_000078,NORMAL_USER,0,1009,72,15844.01,14570.93,0.0714,44,0,0.0,1.0,0.0,0,0.3644,1.0874
payee_000079,REPORTED_LEGITIMATE,0,900,1403,23196.84,5848.55,1.5589,276,2,0.0014,0.9155,0.1735,0,0.2678,3.9663
payee_000080,NEW_ACCOUNT,0,43,19,1967.08,2694.15,0.4419,9,0,0.0,0.82,0.105,0,0.2776,0.7301
payee_000081,NORMAL_USER,0,1280,206,4373.22,38414.5,0.1609,33,0,0.0,0.8268,0.0683,0,0.1056,0.1138
payee_000082,REPORTED_LEGITIMATE,0,372,2550,28904.35,6961.63,6.8548,355,3,0.0012,0.8984,0.0757,0,0.2471,4.152
payee_000083,TRUSTED_MERCHANT,0,2926,7662,108185.59,4757.29,2.6186,4162,0,0.0,1.0,0.0,0,0.0482,22.741
payee_000084,TRUSTED_MERCHANT,0,2880,7481,58334.39,14308.65,2.5976,3488,0,0.0,1.0,0.0,0,0.0238,4.0769
payee_000085,TRUSTED_MERCHANT,0,1617,2916,81997.57,10323.74,1.8033,567,2,0.0007,1.0,0.0,0,0.0125,7.9426
payee_000086,NEW_ACCOUNT,0,13,13,1545.11,1592.52,1.0,7,1,0.0769,0.8697,0.0,0,0.353,0.9702
payee_000087,NORMAL_USER,0,1382,144,9902.17,14241.05,0.1042,7,0,0.0,0.9549,0.0145,0,0.3272,0.6953
payee_000088,TRUSTED_MERCHANT,0,1053,1660,60669.04,7791.2,1.5764,2692,0,0.0,1.0,0.1089,1,0.0485,7.7869
payee_000089,NORMAL_USER,0,835,114,8597.44,5269.56,0.1365,54,0,0.0,0.8708,0.0,1,0.2575,1.6315
payee_000090,TRUSTED_MERCHANT,0,2640,8923,54651.97,10515.46,3.3799,3799,4,0.0004,0.9927,0.0,0,0.0698,5.1973
payee_000091,NEW_ACCOUNT,0,42,21,587.38,8249.13,0.5,8,0,0.0,0.8167,0.0942,0,0.4084,0.0712
payee_000092,NORMAL_USER,0,372,340,9540.67,2974.95,0.914,47,0,0.0,0.9449,0.0259,0,0.0777,3.207
payee_000093,NORMAL_USER,0,1818,138,7949.62,28974.97,0.0759,31,0,0.0,0.8485,0.035,0,0.1232,0.2744
payee_000094,NORMAL_USER,0,469,95,8100.01,10962.69,0.2026,24,3,0.0316,0.9625,0.0,0,0.2566,0.7389
payee_000095,NEW_ACCOUNT,0,26,10,3230.41,941.97,0.3846,2,0,0.0,0.9445,0.0192,1,0.4086,3.4294
payee_000096,NORMAL_USER,0,1291,356,4426.47,11543.82,0.2758,25,1,0.0028,0.9425,0.0,1,0.1775,0.3834
payee_000097,TRUSTED_MERCHANT,0,1487,16912,92792.33,12626.08,11.3732,2179,0,0.0,0.9362,0.0409,0,0.0376,7.3493
payee_000098,TRUSTED_MERCHANT,0,3644,8101,112690.71,19295.63,2.2231,400,0,0.0,0.9042,0.0831,0,0.0653,5.8402
payee_000099,CONFIRMED_SCAM_LIKE,1,48,48,6000.15,6813.13,1.0,29,3,0.0625,0.5007,0.4212,5,0.8764,0.8807
payee_000100,SUSPICIOUS_ACCOUNT,1,9,117,8055.61,5883.62,13.0,126,3,0.0256,0.85,0.2754,0,0.6109,1.3692
payee_000101,NEW_ACCOUNT,0,13,7,4899.97,4019.27,0.5385,9,0,0.0,0.9168,0.0792,0,0.3114,1.2191
payee_000102,NORMAL_USER,0,1163,15,11089.42,20238.78,0.0129,46,0,0.0,0.9607,0.0117,0,0.0528,0.5479
payee_000103,CONFIRMED_SCAM_LIKE,1,59,94,20995.53,23414.63,1.5932,292,9,0.0957,0.5892,0.4713,7,0.826,0.8967
payee_000104,NEW_ACCOUNT,0,3,8,1777.19,3361.47,2.6667,8,0,0.0,0.9259,0.0516,0,0.3053,0.5287
payee_000105,NEW_ACCOUNT,0,40,23,2881.5,2557.02,0.575,9,0,0.0,0.9246,0.0277,0,0.4566,1.1269
payee_000106,NORMAL_USER,0,1455,357,2741.92,19423.39,0.2454,24,0,0.0,1.0,0.1315,0,0.3319,0.1412
payee_000107,NORMAL_USER,0,1735,90,5026.69,15149.43,0.0519,37,0,0.0,0.9482,0.0,0,0.2671,0.3318
payee_000108,TRUSTED_MERCHANT,0,3278,8259,172789.37,63181.11,2.5195,792,0,0.0,0.8898,0.028,0,0.0247,2.7348
payee_000109,SUSPICIOUS_ACCOUNT,1,84,87,6159.19,3758.19,1.0357,74,8,0.092,0.8972,0.2433,5,0.666,1.6389
payee_000110,NORMAL_USER,0,1108,287,6696.87,6048.4,0.259,29,1,0.0035,0.9448,0.0602,0,0.3032,1.1072
payee_000111,NORMAL_USER,0,790,254,7754.47,10099.51,0.3215,45,1,0.0039,0.9052,0.0817,0,0.281,0.7678
payee_000112,NORMAL_USER,0,833,75,9297.57,9830.21,0.09,56,1,0.0133,0.99,0.0828,0,0.1293,0.9458
payee_000113,NORMAL_USER,0,1963,190,10506.9,7331.64,0.0968,36,0,0.0,0.8779,0.0523,0,0.116,1.4331
payee_000114,TRUSTED_MERCHANT,0,2559,7564,96220.64,9609.99,2.9558,4608,3,0.0004,0.8088,0.014,0,0.033,10.0126
payee_000115,SUSPICIOUS_ACCOUNT,1,30,15,11806.53,7391.04,0.5,73,4,0.2667,0.63,0.105,4,0.5558,1.5974
payee_000116,NEW_ACCOUNT,0,36,21,2072.18,814.0,0.5833,3,0,0.0,0.9006,0.0,0,0.551,2.5457
payee_000117,NEW_ACCOUNT,0,27,3,5409.9,1191.24,0.1111,2,1,0.3333,0.9407,0.0229,0,0.5502,4.5414
payee_000118,NORMAL_USER,0,143,39,13053.59,6964.84,0.2727,50,0,0.0,1.0,0.0334,1,0.1874,1.8742
payee_000119,NORMAL_USER,0,384,307,9015.73,3715.61,0.7995,8,0,0.0,0.9249,0.0,0,0.1866,2.4264
payee_000120,NORMAL_USER,0,1946,172,9020.73,21707.0,0.0884,6,1,0.0058,0.7984,0.0362,0,0.2003,0.4156
payee_000121,NEW_ACCOUNT,0,15,17,2610.76,1735.31,1.1333,2,1,0.0588,0.8762,0.0295,0,0.6356,1.5045
payee_000122,TRUSTED_MERCHANT,0,945,10634,92148.57,21741.32,11.2529,3511,3,0.0003,0.9538,0.0633,0,0.0468,4.2384
payee_000123,NORMAL_USER,0,377,328,10169.36,35322.94,0.87,4,1,0.003,0.8986,0.0594,0,0.1101,0.2879
payee_000124,TRUSTED_MERCHANT,0,2427,5892,84702.43,30808.41,2.4277,483,1,0.0002,1.0,0.0,0,0.0443,2.7493
payee_000125,NORMAL_USER,0,1980,159,9917.98,7656.9,0.0803,30,0,0.0,0.9231,0.0355,0,0.1011,1.2953
payee_000126,NORMAL_USER,0,562,301,10148.16,11542.05,0.5356,4,0,0.0,0.8746,0.0462,0,0.0694,0.8792
payee_000127,TRUSTED_MERCHANT,0,1997,7192,61735.27,11519.79,3.6014,1828,2,0.0003,1.0,0.0005,0,0.0888,5.3591
